,country__name,location,n,name
586,Brazil,SRID=4326;POINT (-54.80556 -22.22111),1,Dourados
587,United States,SRID=4326;POINT (-111.69465 40.2969),1,Orem
588,United Kingdom,SRID=4326;POINT (-1.23483 54.57623),1,Middlesbrough
589,China,SRID=4326;POINT (113.03333 25.8),1,Chenzhou
590,Bulgaria,SRID=4326;POINT (23.32415 42.69751),1,Sofia
591,Austria,SRID=4326;POINT (13.85583 46.61028),1,Villach
592,United States,SRID=4326;POINT (-117.9145 33.83529),1,Anaheim
593,Russia,SRID=4326;POINT (28.3496 57.8136),1,Pskov
594,China,SRID=4326;POINT (110.47833 29.12944),1,Zhangjiajie
595,Germany,SRID=4326;POINT (7.466 51.51494),1,Dortmund
596,United States,SRID=4326;POINT (-122.03997 38.24936),1,Fairfield
597,Sierra Leone,SRID=4326;POINT (-11.73833 7.96472),1,Bo
598,Italy,SRID=4326;POINT (10.2502 43.86693),1,Viareggio
599,United Kingdom,SRID=4326;POINT (-1.48333 53.55),1,Barnsley
600,Germany,SRID=4326;POINT (8.754390000000001 51.71905),1,Paderborn
601,Bolivia,SRID=4326;POINT (-68.15000000000001 -16.5),1,La Paz
602,Australia,SRID=4326;POINT (150.50595 -23.38032),1,Rockhampton
603,China,SRID=4326;POINT (106.27306 38.46806),1,Yinchuan
604,Indonesia,SRID=4326;POINT (110.36472 -7.80139),1,Yogyakarta
605,United States,SRID=4326;POINT (-72.80704 41.53815),1,Meriden
606,Spain,SRID=4326;POINT (-6.97061 38.87789),1,Badajoz
607,Nicaragua,SRID=4326;POINT (-86.2504 12.13282),1,Managua
608,Argentina,SRID=4326;POINT (-60.63932 -32.94682),1,Rosario
609,Liberia,SRID=4326;POINT (-10.7969 6.30054),1,Monrovia
610,Germany,SRID=4326;POINT (8.627190000000001 48.16783),1,Rottweil
611,Germany,SRID=4326;POINT (13.43122 48.5665),1,Passau
612,Mexico,SRID=4326;POINT (-99.18594 19.48698),1,Azcapotzalco
613,Turkey,SRID=4326;POINT (35.48528 38.73222),1,Kayseri
614,Colombia,SRID=4326;POINT (-74.73584 5.20856),1,Honda
615,Finland,SRID=4326;POINT (24.48333 64.68333),1,Raahe
616,Spain,SRID=4326;POINT (-5.97317 37.38283),1,Sevilla
617,Mozambique,SRID=4326;POINT (32.58322 -25.96553),1,Maputo
618,Saudi Arabia,SRID=4326;POINT (50.11396 26.28864),1,Dhahran
619,Algeria,SRID=4326;POINT (3.08746 36.73225),1,Algiers
620,China,SRID=4326;POINT (119.45508 32.21086),1,Zhenjiang
621,United States,SRID=4326;POINT (-84.34162000000001 40.84338),1,Delphos
622,United States,SRID=4326;POINT (-118.35257 33.9164),1,Hawthorne
623,France,SRID=4326;POINT (1.85635 50.95194),1,Calais
624,Malaysia,SRID=4326;POINT (100.47793 5.16586),1,Nibong Tebal
625,Ukraine,SRID=4326;POINT (30.5238 50.45466),1,Kiev
626,United States,SRID=4326;POINT (-83.74088 42.27756),1,Ann Arbor
627,United States,SRID=4326;POINT (-111.78903 33.35283),1,Gilbert
628,India,SRID=4326;POINT (88.34115 22.64859),1,Bāli
629,Canada,SRID=4326;POINT (-63.57239 44.64533),1,Halifax
630,Palestinian Territory,SRID=4326;POINT (35.25444 32.22111),1,Nablus
631,Bosnia and Herzegovina,SRID=4326;POINT (18.66709 44.53842),1,Tuzla
632,Italy,SRID=4326;POINT (10.94758 43.71795),1,Empoli
633,Chile,SRID=4326;POINT (-70.13912999999999 -20.22036),1,Iquique
634,India,SRID=4326;POINT (73.85535 18.51957),1,Pune
635,United States,SRID=4326;POINT (-74.45182 40.48622),1,New Brunswick
636,India,SRID=4326;POINT (75.9526 17.17735),1,Indi
637,United States,SRID=4326;POINT (-77.46053999999999 38.30318),1,Fredericksburg
638,Yemen,SRID=4326;POINT (45.03667 12.77944),1,Aden
639,United States,SRID=4326;POINT (-121.85162 36.61107),1,Seaside
640,Ecuador,SRID=4326;POINT (-79.90795 -2.20584),1,Guayaquil
641,Slovenia,SRID=4326;POINT (13.72944 45.54694),1,Koper
642,Germany,SRID=4326;POINT (7.77161 49.443),1,Kaiserslautern
643,Poland,SRID=4326;POINT (16.17222 54.19438),1,Koszalin
644,China,SRID=4326;POINT (112.61888 26.88946),1,Hengyang
645,Ivory Coast,SRID=4326;POINT (-7.55383 7.41251),1,Man
646,Netherlands,SRID=4326;POINT (6.89583 52.21833),1,Enschede
647,Nigeria,SRID=4326;POINT (6.78569 6.14978),1,Onitsha
648,United Kingdom,SRID=4326;POINT (-3.52751 50.7236),1,Exeter
649,China,SRID=4326;POINT (112.9 27.85),1,Xiangtan
650,Netherlands,SRID=4326;POINT (5.12222 52.09083),1,Utrecht
651,United States,SRID=4326;POINT (-74.4121 40.51872),1,Edison
652,United States,SRID=4326;POINT (-122.71443 38.44047),1,Santa Rosa
653,Indonesia,SRID=4326;POINT (100.35427 -0.94924),1,Padang
654,United States,SRID=4326;POINT (-96.63888 32.91262),1,Garland
655,United States,SRID=4326;POINT (-88.20726999999999 40.11059),1,Urbana
656,Germany,SRID=4326;POINT (7.09549 50.73438),1,Bonn
657,Uganda,SRID=4326;POINT (34.17503 1.08209),1,Mbale
658,Denmark,SRID=4326;POINT (9.918699999999999 57.048),1,Aalborg
